A,B,C,D,E,H,I,P,N,DP,total_hba,total_num_aromatic_heterocycles,total_rot_bonds,total_n_nitrogen,total_num_rings,total_logp,total_tpsa,total_heavy_atom_count,total_hallkieralpha,total_kappa3,total_kappa2,total_balabanj,total_chi1v,total_n_carbon,total_n_oxygen,total_chi0v,total_num_aliphatic_rings,total_arom_rings,total_mw,total_bertzct,total_hbd,charge,total_num_valence_electrons,total_molar_ref,total_num_heteroatoms,total_num_sat_rings,total_kappa1,predicted_docking_score,Consensus_Class,score,fluorescence
0.0,0.0,4.0,10.0,4.0,0.0,0.0,4.0,0.0,22.0,66.0,0.0,84.0,10.0,4.0,6.6958,835.0400000000001,224.0,-23.82,99.558384,104.966106,66.407402,67.260752,158.0,56.0,134.423374,0.0,4.0,3173.656,3282.292808,0.0,6.0,1250.0,842.8620000000001,66.0,0.0,192.507064,-8.694228,2,0,High
0.0,5.0,2.0,9.0,0.0,0.0,5.0,0.0,0.0,21.0,55.0,0.0,74.0,9.0,5.0,15.1859,685.6600000000001,215.0,-21.91,95.720127,96.36285,63.843990000000005,66.326216,160.0,46.0,131.725872,0.0,5.0,3026.705,3236.1775530000004,0.0,7.0,1195.0,833.75,55.0,0.0,183.569385,-8.710147,2,0,High
0.0,0.0,4.0,10.0,5.0,0.0,0.0,5.0,0.0,24.0,71.0,0.0,91.0,10.0,5.0,9.2259,896.87,245.0,-26.379999999999995,106.344604,114.171962,71.742445,73.659036,174.0,61.0,146.541601,0.0,5.0,3465.987,3651.102919,0.0,6.0,1364.0,922.785,71.0,0.0,209.02883,-8.692102,2,0,High
0.0,3.0,4.0,10.0,0.0,0.0,0.0,4.0,0.0,21.0,64.0,0.0,85.0,10.0,7.0,9.5012,808.74,232.0,-25.37,95.183417,104.370403,61.016848,69.831188,168.0,54.0,137.27557,0.0,7.0,3259.7520000000004,3770.976103,0.0,6.0,1276.0,874.847,64.0,0.0,193.244695,-8.772504,2,0,High
0.0,0.0,4.0,10.0,3.0,0.0,0.0,4.0,0.0,21.0,64.0,0.0,82.0,10.0,4.0,5.9603,808.74,217.0,-23.03,96.529493,101.564167,63.234502000000006,65.159798,153.0,54.0,130.11531399999998,0.0,4.0,3073.539,3206.143468,0.0,6.0,1210.0,816.0320000000002,64.0,0.0,186.297064,-8.695509,2,0,High
0.0,3.0,4.0,10.0,0.0,0.0,0.0,5.0,0.0,22.0,67.0,0.0,90.0,10.0,8.0,11.295799999999998,844.27,246.0,-27.14,98.940746,110.17432,63.178991,74.128518,179.0,57.0,145.085737,0.0,8.0,3451.9660000000003,4063.636874,0.0,6.0,1350.0,927.94,67.0,0.0,203.556461,-8.787805,2,0,High
0.0,5.0,4.0,10.0,0.0,0.0,2.0,0.0,0.0,21.0,60.0,0.0,77.0,10.0,5.0,8.8976,771.82,218.0,-23.01,95.464299,98.07959300000002,63.780642,65.871628,158.0,50.0,131.195348,0.0,5.0,3071.614,3340.1543450000004,0.0,6.0,1208.0,827.3330000000001,60.0,0.0,185.469385,-8.739064,2,0,High
0.0,0.0,3.0,9.0,4.0,0.0,5.0,0.0,0.0,21.0,57.0,0.0,71.0,9.0,0.0,7.4045,725.7900000000001,193.0,-18.54,99.764397,92.83241900000002,67.646825,59.095261,136.0,48.0,120.815716,0.0,0.0,2759.351,2368.467294,0.0,6.0,1101.0,739.675,57.0,0.0,174.46,-8.476908,2,0,High
0.0,2.0,4.0,10.0,5.0,0.0,0.0,0.0,0.0,21.0,60.0,0.0,72.0,10.0,2.0,4.0845,771.82,199.0,-20.67,92.718357,93.827079,65.799094,59.488554,139.0,50.0,120.88039,0.0,2.0,2829.293,2716.652834,0.0,6.0,1118.0,750.1899999999999,60.0,0.0,174.52175400000002,-8.603059,2,0,High
0.0,5.0,4.0,10.0,0.0,0.0,0.0,0.0,3.0,22.0,62.0,0.0,80.0,16.0,5.0,2.4761000000000006,935.79,227.0,-25.39,98.919316,100.79098700000002,67.394717,67.010898,159.0,52.0,134.080759,0.0,5.0,3199.665,3554.8670520000005,6.0,6.0,1254.0,852.5483,68.0,0.0,192.089385,-8.718239,2,0,High
0.0,7.0,3.0,9.0,0.0,0.0,0.0,0.0,2.0,21.0,57.0,0.0,75.0,13.0,7.0,8.5629,817.57,222.0,-25.06,89.405604,96.26843,62.401212,66.21596100000001,161.0,48.0,130.790927,0.0,7.0,3109.606,3671.226081,4.0,6.0,1215.0,842.2322,61.0,0.0,183.611139,-8.851204,2,0,High
0.0,0.0,2.0,8.0,7.0,0.0,0.0,4.0,0.0,21.0,58.0,0.0,74.0,8.0,4.0,10.9605,716.6800000000001,205.0,-21.89,88.366715,96.085105,62.977082,62.043312,147.0,50.0,123.759464,0.0,4.0,2901.3990000000003,2969.538188,0.0,6.0,1144.0,781.7820000000002,58.0,0.0,175.437064,-8.581017,2,0,High
