D,H,A,E,C,I,P,B,N,DP,Fluorescence,total_num_valence_electrons,total_hallkieralpha,total_num_sat_rings,total_kappa2,total_kappa3,total_bertzct,total_balabanj,total_rot_bonds,total_hbd,total_hba,total_num_heteroatoms,total_num_aromatic_heterocycles,total_num_aliphatic_rings,total_logp,total_chi0v,total_arom_rings,total_num_rings,total_kappa1,total_n_carbon,total_mw,total_n_oxygen,total_chi1v,charge,total_heavy_atom_count,total_molar_ref,total_tpsa,total_n_nitrogen,predicted_docking_score,Consensus_Class,score,fluorescence
13.5,2.5,0,0,2.5,10,0,0,0,28.5,2.631780268,1544.5,-24.48,0,130.882741,142.9096575,3279.047164,91.833375,101.5,2.5,78,78,0,0,11.6813,170.581366,0,0,245.52,192,3862.806,64.5,83.643047,11,270,1047.562,980.1,13.5,-8.304385,2,0,High
21.5,2.5,0,0,0,2.5,0,0,2.5,29,2.631685423,1595.5,-25.195,0,137.666589,146.5867625,3434.2814785,93.1153225,108.5,7.5,82,87,0,0,2.11245,177.024199,0,0,254.805,193,4009.544,60.5,85.5413555,21.5,280,1101.69975,1054.85,26.5,-8.411066,2,0,High
13.5,10,0,0,2.5,10,0,0,0,36,2.628741011,1889.5,-30.705,0,163.3733035,168.1353375,3936.606454,115.1691,124,10,100.5,100.5,0,0,9.49055,204.0492235,0,0,299.295,229.5,4733.676,87,100.2186095,11,330,1259.3755,1329.075,13.5,-7.63905,2,0,High
7.5,7.5,0,0,7.5,7.5,0,0,0,30,2.616313366,1582.5,-28.275,0,135.004215,139.3312125,3478.197525,96.4383075,105,7.5,90,90,0,0,0.377999999999998,166.0637775,0,0,249.225,187.5,3979.4325,82.5,81.952665,0,277.5,1012.656,1285.95,7.5,-8.335752,2,0,High
7.5,0,7.5,0,0,7.5,7.5,0,0,30,2.596169028,1582.5,-31.35,0,123.340215,130.1377425,4326.243495,88.757355,97.5,7.5,67.5,75,0,0,22.044,171.9601125,7.5,7.5,239.263245,210,4009.875,60,86.6126325,7.5,285,1113.6255,1028.4,15,-8.697024,2,0,High
19.5,0,2.5,10,2.5,0,0,0,0,34.5,2.589502888,1721.5,-29.36,0,146.5940245,153.9228275,3635.9469455,110.2399925,110.5,2.5,91,93.5,0,0,5.8866,189.3513295,0,0,273.14,209,4328.7895,71.5,91.160759,17,302.5,1173.826,1164.7,22,-7.712569,2,0,High
19.5,2.5,0,0,2.5,10,0,0,0,34.5,2.589502888,1886.5,-29.46,0,160.851787,174.7664775,4003.694248,111.002565,125.5,2.5,96,96,0,0,12.3731,209.355652,0,0,300.54,234,4721.922,76.5,102.270059,17,330,1287.592,1173.3,19.5,-7.780115,2,0,High
7.5,7.5,0,0,7.5,7.5,0,0,0,30,2.565187241,1582.5,-28.275,0,135.004215,139.3312125,3478.197525,96.4383075,105,7.5,90,90,0,0,0.377999999999998,166.0637775,0,0,249.225,187.5,3979.4325,82.5,81.952665,0,277.5,1012.656,1285.95,7.5,-8.335752,2,0,High
10,2.5,2.5,19.5,0,0,0,0,0,34.5,2.532717393,1535,-27.755,0,130.920223,128.5916345,3056.6272075,109.6107875,89,5,79,81.5,0,0,13.90925,166.7120725,0,0,241.245,187.5,3852.129,69,80.513118,10,269,1042.318,1058.9,12.5,-7.468066,2,0,High
17.5,2.5,0,0,0,10,0,0,2.5,32.5,2.527408101,1757.5,-27.8,0,148.62531,163.4106325,3742.3117575,104.87962,115,7.5,85,90,0,0,11.93825,195.3152575,0,0,279.7,217.5,4398.0825,67.5,95.2993175,17.5,307.5,1211.63475,1123.3,22.5,-7.9663916,2,0,High
11,0,0,0,0,0,13,0,0,24,2.521315885,1589,-32.14,0,130.394172,107.249447,5133.109677,63.251374,109,0,72,72,0,0,24.5981,172.618362,13,13,234.922958,220,4073.828,61,90.014812,11,292,1130.264,816.09,11,-8.77809,2,0,High
14.5,10,0,0,2.5,10,0,0,0,37,2.521263737,1946.5,-31.535,0,168.3681445,173.4448075,4057.380968,118.363965,128,10,103.5,103.5,0,0,9.60585,210.5116045,0,0,308.465,236.5,4876.862,89,103.3231115,12,340,1299.3805,1361.275,14.5,-7.520898,2,0,High
